id,species,order,group,realm
PRULA,Northern Parula,Passerine,Landbird,Nearctic
NWTRT,Northern Waterthrush,Passerine,Landbird,Nearctic
NCRKR,Nutcracker,Passerine,Landbird,European
OTREE,Olive-tree Warbler,Passerine,Landbird,Levant
OPRAT,Oriental Pratincole,Non-Passerine,Waterbird,Oriental
ORTUD,Oriental Turtle Dove,Non-Passerine,Landbird,Oriental
ORITD,Oriental turtle dove ssp.,Non-Passerine,Landbird,Oriental
UORPH,Orphean warbler sp.,Passerine,Landbird,Mediterranean
OVENB,Ovenbird,Passerine,Landbird,Nearctic
PCDVR,Pacific Diver,Non-Passerine,Waterbird,Nearctic
PAGOP,Pacific Golden Plover,Non-Passerine,Waterbird,Oriental
PCSWF,Pacific Swift,Non-Passerine,Landbird,Oriental
PDDYW,Paddyfield Warbler,Passerine,Landbird,Levant
PLLFW,Pale-legged Leaf Warbler,Passerine,Landbird,Oriental
PLSKW,Pale-legged/Sakhalin Leaf Warbler,Passerine,Landbird,Oriental
PGTIP,Pallas's Grasshopper Warbler,Passerine,Landbird,Oriental
PREED,Pallas's Reed Bunting,Passerine,Landbird,Oriental
PALSA,Pallas's Sandgrouse,Non-Passerine,Landbird,Oriental
PALHA,Pallid Harrier,Non-Passerine,Landbird,European
PLSWF,Pallid Swift,Non-Passerine,Landbird,Mediterranean
PEPIP,Pechora Pipit,Passerine,Landbird,Oriental
PHVIR,Philadelphia Vireo,Passerine,Landbird,Nearctic
PWHTR,Pied Wheatear,Passerine,Landbird,Levant
PBGRE,Pied-billed Grebe,Non-Passerine,Waterbird,Nearctic
PINEB,Pine Bunting,Passerine,Landbird,Oriental
PGROS,Pine Grosbeak,Passerine,Landbird,Arctic
PMART,Purple Martin,Passerine,Landbird,Nearctic
RFOXS,Red Fox Sparrow,Passerine,Landbird,Nearctic
RBTRO,Red-billed Tropicbird,Non-Passerine,Seabird,Afro-Tropical
REDBG,Red-breasted Goose,Non-Passerine,Waterbird,European
RBNUT,Red-breasted Nuthatch,Passerine,Landbird,Nearctic
REVIR,Red-eyed Vireo,Passerine,Landbird,Nearctic
RFBBY,Red-footed Booby,Non-Passerine,Seabird,Afro-Tropical
RNECS,Red-necked Stint,Non-Passerine,Waterbird,Oriental
RTHRT,Red-throated Thrush,Passerine,Landbird,Oriental
RWBLB,Red-winged Blackbird,Passerine,Landbird,Nearctic
REDHD,Redhead,Non-Passerine,Wildfowl,Nearctic
RIVRW,River Warbler,Passerine,Landbird,European
ROCKB,Rock Bunting,Passerine,Landbird,Mediterranean
ROCKS,Rock Sparrow,Passerine,Landbird,Mediterranean
ROLLR,Roller,Non-Passerine,Landbird,Mediterranean
RBGBK,Rose-breasted Grosbeak,Passerine,Landbird,Nearctic
RGOOS,Ross's Goose,Non-Passerine,Wildfowl,Nearctic
RSSGL,Ross's Gull,Non-Passerine,Waterbird,Arctic
RLHWK,Rough-legged Hawk,Non-Passerine,Landbird,Nearctic
ROYAL,Royal tern sp.,Non-Passerine,Waterbird,Afro-Tropical
RCKLT,Ruby-crowned Kinglet,Passerine,Landbird,Nearctic
RUTUD,Rufous Turtle Dove,Non-Passerine,Landbird,Oriental
RTROB,Rufous-tailed Robin,Passerine,Landbird,Oriental
ROCKT,Rufous-tailed Rock Thrush,Passerine,Landbird,Mediterranean
BUSHC,Rufous-tailed Scrub Robin,Passerine,Landbird,Mediterranean
RUPPW,Ruppell's Warbler,Passerine,Landbird,Levant
SHILL,Sandhill Crane,Non-Passerine,Waterbird,Nearctic
SARDW,Sardinian Warbler,Passerine,Landbird,Mediterranean
SAVNS,Savannah Sparrow,Passerine,Landbird,Nearctic
SCART,Scarlet Tanager,Passerine,Landbird,Nearctic
SCPLI,Scopoli's Shearwater,Non-Passerine,Seabird,Mediterranean
SCOPS,Scops Owl,Non-Passerine,Landbird,Mediterranean
SEMPL,Semipalmated Plover,Non-Passerine,Waterbird,Nearctic
SEMSP,Semipalmated Sandpiper,Non-Passerine,Waterbird,Nearctic
SWSND,Semipalmated/Western Sandpiper,Non-Passerine,Waterbird,Nearctic
SHTSP,Sharp-tailed Sandpiper,Non-Passerine,Waterbird,Oriental
SBDOW,Short-billed Dowitcher,Non-Passerine,Waterbird,Nearctic
STOES,Short-tailed Shearwater,Non-Passerine,Seabird,Pacific
STOEE,Short-toed Eagle,Non-Passerine,Landbird,Mediterranean
STOET,Short-toed Treecreeper,Passerine,Landbird,European
SBACC,Siberian Accentor,Passerine,Landbird,Oriental
SBROB,Siberian Blue Robin,Passerine,Landbird,Oriental
SRUBY,Siberian Rubythroat,Passerine,Landbird,Oriental
LSSPL,Siberian Sand Plover,Non-Passerine,Waterbird,Oriental
SIBST,Siberian Stonechat,Passerine,Landbird,Oriental
SIBET,Siberian Thrush,Passerine,Landbird,Oriental
SCJCO,Slate-coloured Junco,Passerine,Landbird,Nearctic
SLATY,Slaty-backed Gull,Non-Passerine,Waterbird,Pacific
SBGUL,Slender-billed Gull,Non-Passerine,Waterbird,Mediterranean
SNOWE,Snowy Egret,Non-Passerine,Waterbird,Nearctic
SNOWO,Snowy Owl,Non-Passerine,Landbird,Arctic
SCLAP,Sociable Lapwing,Non-Passerine,Waterbird,Levant
SFTPP,Soft-plumaged Petrel,Non-Passerine,Seabird,Afro-Tropical
SLTRY,Solitary Sandpiper,Non-Passerine,Waterbird,Nearctic
SONGS,Song Sparrow,Passerine,Landbird,Nearctic
SOOTT,Sooty Tern,Non-Passerine,Seabird,Afro-Tropical
SORAR,Sora,Non-Passerine,Waterbird,Nearctic
SPSKU,South Polar Skua,Non-Passerine,Seabird,Afro-Tropical
SPANS,Spanish Sparrow,Passerine,Landbird,Mediterranean
SPECW,Spectacled Warbler,Passerine,Landbird,Mediterranean
SPOTS,Spotted Sandpiper,Non-Passerine,Waterbird,Nearctic
SQUHE,Squacco Heron,Non-Passerine,Waterbird,Mediterranean
STEJS,Stejneger's Scoter,Non-Passerine,Waterbird,Oriental
AMRST,Amur Stonechat,Passerine,Landbird,Oriental
STELE,Steller's Eider,Non-Passerine,Wildfowl,Arctic
SGSRK,Steppe Grey Shrike,Passerine,Landbird,Oriental
STLTS,Stilt Sandpiper,Non-Passerine,Waterbird,Nearctic
SULBW,Sulphur-bellied Warbler,Passerine,Landbird,Oriental
SUMMT,Summer Tanager,Passerine,Landbird,Nearctic
SWAIN,Swainson's Thrush,Passerine,Landbird,Nearctic
SWINP,Swinhoe's Storm Petrel,Non-Passerine,Seabird,Oriental
SYKEW,Sykes's Warbler,Passerine,Landbird,Oriental
TGFLY,Taiga Flycatcher,Passerine,Landbird,Oriental
TMERL,Taiga Merlin,Non-Passerine,Landbird,Nearctic
TENGO,Tengmalm's Owl,Non-Passerine,Landbird,Arctic
TENNW,Tennessee Warbler,Passerine,Landbird,Nearctic
TEREK,Terek Sandpiper,Non-Passerine,Waterbird,European
THYGL,Thayer's Gull,Non-Passerine,Waterbird,Nearctic
THBLW,Thick-billed Warbler,Passerine,Landbird,Oriental
SPROS,Thrush Nightingale,Passerine,Landbird,European
TISPL,Tibetan Sand Plover,Non-Passerine,Waterbird,Oriental
TRSWL,Tree Swallow,Passerine,Landbird,Nearctic
TRMPF,Trumpeter Finch,Passerine,Landbird,Mediterranean
TUPUF,Tufted Puffin,Non-Passerine,Seabird,Pacific
TUSRK,Turkestan Shrike,Passerine,Landbird,Oriental
TBXBL,Two-barred Crossbill,Passerine,Landbird,Nearctic
TBGRW,Two-barred Greenish Warbler,Passerine,Landbird,Oriental
UPLND,Upland Sandpiper,Non-Passerine,Waterbird,Nearctic
VARIT,Varied Thrush,Passerine,Landbird,Nearctic
VEERY,Veery,Passerine,Landbird,Nearctic
VEGAG,Vega Gull,Non-Passerine,Waterbird,Oriental
WCRPR,Wallcreeper,Passerine,Landbird,Mediterranean
WBEWT,Western Black-eared Wheatear,Passerine,Landbird,Mediterranean
WBONW,Western Bonelli's Warbler,Passerine,Landbird,Mediterranean
WORPH,Western Orphean Warbler,Passerine,Landbird,Mediterranean
WESTS,Western Sandpiper,Passerine,Waterbird,Nearctic
SWHEN,Western Swamphen,Non-Passerine,Waterbird,Mediterranean
BNLIW,Western/Eastern Bonelli's Warbler,Passerine,Landbird,n/a
WHSKT,Whiskered Tern,Non-Passerine,Waterbird,European
WCHIN,White-chinned Petrel,Non-Passerine,Seabird,Afro-Tropical
WCWTR,White-crowned Black Wheatear,Passerine,Landbird,Mediterranean
WCRNS,White-crowned Sparrow,Passerine,Landbird,Nearctic
WRSWF,White-rumped Swift,Non-Passerine,Landbird,Mediterranean
WTLAP,White-tailed Lapwing,Non-Passerine,Waterbird,Levant
NEEDL,White-throated Needletail,Non-Passerine,Landbird,Oriental
WTROB,White-throated Robin,Passerine,Landbird,Levant
WTHRS,White-throated Sparrow,Passerine,Landbird,Nearctic
WWLRK,White-winged Lark,Passerine,Landbird,Levant
WWNGS,White-winged scoter sp.,Non-Passerine,Waterbird,n/a
WHTET,White's Thrush,Passerine,Landbird,Oriental
WPHAL,Wilson's Phalarope,Non-Passerine,Waterbird,Oriental
WSNPE,Wilson's Snipe,Non-Passerine,Waterbird,Nearctic
WILSW,Wilson's Warbler,Passerine,Landbird,Nearctic
WOODT,Wood Thrush,Passerine,Landbird,Nearctic
YELKS,Yelkouan Shearwater,Non-Passerine,Seabird,Mediterranean
YBELF,Yellow-bellied Flycatcher,Passerine,Landbird,Nearctic
YBSAP,Yellow-bellied Sapsucker,Non-Passerine,Landbird,Nearctic
YBCUC,Yellow-billed Cuckoo,Non-Passerine,Landbird,Nearctic
YBREB,Yellow-breasted Bunting,Passerine,Landbird,Oriental
YBRWB,Yellow-browed Bunting,Passerine,Landbird,Oriental
YTVIR,Yellow-throated Vireo,Passerine,Landbird,Nearctic
ZINOP,Zino's Petrel,Non-Passerine,Seabird,Afro-Tropical
ZITTA,Zitting Cisticola,Passerine,Landbird,Mediterranean
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
