site,area,recording_area,lat,long,offshore,region,subregion
Ballybrannigan Strand,,County Cork,51.804,-8.132,,Ireland,Republic of Ireland
Ballybutler Lake,,County Cork,51.908,-8.111,,Ireland,Republic of Ireland
Ballycarbery,,County Kerry,51.951,-10.262,,Ireland,Republic of Ireland
Ballycogley,,County Wexford,52.244,-6.489,,Ireland,Republic of Ireland
Ballyconneely,,County Galway,53.433,-10.076,,Ireland,Republic of Ireland
Ballyconnell,,County Sligo,54.359,-8.652,,Ireland,Republic of Ireland
Ballyconnell/Cullamore,,County Sligo,54.363,-8.647,,Ireland,Republic of Ireland
Ballyconnell/Lissadell,,County Sligo,54.354,-8.618,,Ireland,Republic of Ireland
Ballyconnell/Raghly Point,,County Sligo,54.342,-8.650,,Ireland,Republic of Ireland
Ballycotton,,County Cork,51.831,-8.010,,Ireland,Republic of Ireland
Ballydehob,,County Cork,51.563,-9.456,,Ireland,Republic of Ireland
Ballydonegan,,County Cork,51.629,-10.052,,Ireland,Republic of Ireland
Ballyduff,,County Waterford,52.148,-8.051,,Ireland,Republic of Ireland
Ballyferriter,,County Kerry,52.170,-10.403,,Ireland,Republic of Ireland
Ballygannon,,County Wicklow,53.118,-6.051,,Ireland,Republic of Ireland
Ballygar,,County Roscommon,53.517,-8.286,,Ireland,Republic of Ireland
Ballygrant,Islay,Argyll,55.818,-6.161,1,Scotland,Hebrides
Ballyhealy Bay,,County Wexford,52.186,-6.528,,Ireland,Republic of Ireland
Ballyhonock Lake,,County Cork,51.913,-8.010,,Ireland,Republic of Ireland
Ballykelly,,County Derry,55.044,-7.023,,Ireland,Northern Ireland
Ballylogue,,County Kilkenny,52.432,-7.000,,Ireland,Republic of Ireland
Ballylongford,,County Kerry,52.548,-9.479,,Ireland,Republic of Ireland
Ballyloughane Strand,,County Galway,53.271,-9.019,,Ireland,Republic of Ireland
Ballymacelligot,,County Kerry,52.250,-9.599,,Ireland,Republic of Ireland
Ballymacoda,,County Cork,51.892,-7.934,,Ireland,Republic of Ireland
Ballymartin,Islay,Argyll,55.817,-6.199,1,Scotland,Hebrides
Ballymascanlon Estuary,,County Louth,54.029,-6.366,,Ireland,Republic of Ireland
Ballymena,,County Antrim,54.864,-6.278,,Ireland,Northern Ireland
Ballymore,,County Wexford,52.592,-6.393,,Ireland,Republic of Ireland
Ballynamona,,County Wexford,52.482,-6.296,,Ireland,Republic of Ireland
Ballynatray,,County Waterford,51.997,-7.883,,Ireland,Republic of Ireland
Ballyneety,,County Waterford,52.110,-7.638,,Ireland,Republic of Ireland
Ballysadare Bay,,County Sligo,54.212,-8.509,,Ireland,Republic of Ireland
Ballyshunnock Reservoir,,County Waterford,52.238,-7.338,,Ireland,Republic of Ireland
Ballyshunnock Reservoir/Knockaderry Reservoir,,County Waterford,52.223,-7.306,,Ireland,Republic of Ireland
Ballysteen,,County Limerick,52.647,-8.952,,Ireland,Republic of Ireland
Ballyteigue Bay,,County Wexford,52.207,-6.659,,Ireland,Republic of Ireland
Ballyvaughan,,County Clare,53.116,-9.150,,Ireland,Republic of Ireland
Ballyvergan,,County Cork,51.940,-7.884,,Ireland,Republic of Ireland
Ballyvergan/Ballycotton,,County Cork,51.886,-7.947,,Ireland,Republic of Ireland
Balmedie,,North-east Scotland,57.249,-2.040,,Scotland,North East Scotland
Balmore Pool,,Clyde,55.934,-4.222,,Scotland,Central Belt
Balnabadoch,Barra,Outer Hebrides,56.986,-7.411,1,Scotland,Hebrides
Balnakeil,,Highland,58.576,-4.768,,Scotland,Scottish Highlands
Balranald,North Uist,Outer Hebrides,57.604,-7.523,1,Scotland,Hebrides
Balranald/Ardivachar Point/Askernish,Various islands,Outer Hebrides,57.342,-7.438,1,Scotland,Hebrides
Balranald/Balemore,North Uist,Outer Hebrides,57.591,-7.491,1,Scotland,Hebrides
Baltasound,Unst,Shetland,60.761,-0.861,1,Scotland,Shetland
Baltasound/Baliasta,Unst,Shetland,60.763,-0.875,1,Scotland,Shetland
Baltasound/Haroldswick,Unst,Shetland,60.775,-0.847,1,Scotland,Shetland
Baltasound/Skaw,Unst,Shetland,60.793,-0.828,1,Scotland,Shetland
Baltimore,,County Cork,51.484,-9.366,,Ireland,Republic of Ireland
Baltray,,County Louth,53.733,-6.261,,Ireland,Republic of Ireland
Balvicar,Seil Island,Argyll,56.292,-5.611,,Scotland,Central Belt
Bamburgh,,Northumberland,55.608,-1.714,,England,North East
Bampton,,Devon,50.991,-3.487,,England,South West
Banagher,,County Offaly,53.191,-7.986,,Ireland,Republic of Ireland
Banchory,,North-east Scotland,57.052,-2.488,,Scotland,North East Scotland
Banduff Lough,,County Sligo,54.447,-8.439,,Ireland,Republic of Ireland
Bangor (NI),,County Down,54.661,-5.671,,Ireland,Northern Ireland
Bangor (Wales),,Caernarfonshire,53.231,-4.125,,Wales,North Wales
Bank End,,Lancashire & North Merseyside,53.969,-2.866,,England,North West
Banks Marsh,,Lancashire & North Merseyside,53.717,-2.915,,England,North West
Bann Estuary,,County Derry,55.165,-6.767,,Ireland,Northern Ireland
Bannamin,West Burra,Shetland,60.059,-1.345,1,Scotland,Shetland
Bannow Bay,,County Wexford,52.208,-6.785,,Ireland,Republic of Ireland
Banstead Downs,,Surrey,51.337,-0.205,,England,South East
Bant's Carn,St Mary's,Isles of Scilly,49.931,-6.307,1,England,South West
Bantham,,Devon,50.278,-3.868,,England,South West
Bantons Lake,,Lancashire & North Merseyside,53.964,-2.739,,England,North West
Bantry,,County Cork,51.680,-9.450,,Ireland,Republic of Ireland
Bar Farm,St Mary's,Isles of Scilly,49.934,-6.300,1,England,South West
Barassie,,Ayrshire,55.560,-4.653,,Scotland,South West Scotland
Barbrook Reservoir,,Derbyshire,53.282,-1.587,,England,East Midlands
Barcaldine,Connel,Argyll,56.523,-5.314,1,Scotland,Hebrides
Barcombe Cross,,Sussex,50.925,0.020,,England,South East
Barcombe Reservoir,,Sussex,50.917,0.048,,England,South East
Bardister,Mainland,Shetland,60.478,-1.352,1,Scotland,Shetland
Bardney Ponds,,Lincolnshire,53.199,-0.333,,England,
Bardsey,,Caernarfonshire,52.758,-4.789,1,Wales,North Wales
Barking,,Essex,51.538,0.088,,England,East Anglia
Barkland,,Fair Isle,59.526,-1.633,1,Scotland,Shetland
Barlavington,,Sussex,50.939,-0.617,,England,South East
Barleycove,,County Cork,51.407,-9.782,,Ireland,Republic of Ireland
Barleycroft Gravel Pits,,Cambridgeshire,52.341,0.003,,England,East Anglia
Barleycroft Gravel Pits/Fen Drayton,,Cambridgeshire,52.325,-0.017,,England,East Anglia
Barmston,,Yorkshire,54.015,-0.226,,England,North East
Barmston Pond,,Durham,54.909,-1.491,,England,North East
Barna,,County Galway,53.250,-9.157,,Ireland,Republic of Ireland
Barnaby Lane,St Agnes,Isles of Scilly,49.891,-6.342,1,England,South West
Barnaby Lane/Big Pool,St Agnes,Isles of Scilly,49.894,-6.345,1,England,South West
Barnaderg Bay,,County Galway,53.551,-9.963,,Ireland,Republic of Ireland
Barnard Castle,,Durham,54.542,-1.927,,England,North East
Barnartra,Mullet Peninsula,County Mayo,54.223,-9.840,,Ireland,Republic of Ireland
Barnes,,Greater London,51.476,-0.231,,England,South East
Barnhills,,Scottish Borders,55.471,-2.660,,Scotland,South East Scotland
Barningham,,Norfolk,52.878,1.200,,England,East Anglia
Barns Ness,,Lothian,55.987,-2.445,,Scotland,South East Scotland
Barnsell Copse,,Wiltshire,51.000,-1.642,,England,Home Counties
Barnsley,,Yorkshire,53.552,-1.475,,England,North East
Barnstaple,,Devon,51.077,-4.060,,England,South West
Barnwell Brook,,Northamptonshire,52.445,-0.458,,England,East Midlands
Baron's Haugh,,Clyde,55.771,-4.000,,Scotland,Central Belt
Barra Airfield,Barra,Outer Hebrides,57.026,-7.449,1,Scotland,Hebrides
Barrapol,Tiree,Argyll,56.480,-6.951,1,Scotland,Hebrides
Barrow Gravel Pits,,Derbyshire,52.846,-1.488,,England,East Midlands
Barrow Gurney Reservoirs,,Avon,51.406,-2.662,,England,South West
Barrow Harbour,,County Kerry,52.299,-9.853,,Ireland,Republic of Ireland
Barrow-in-Furness,,Cumbria,54.110,-3.232,,England,North West
Barry Buddon,,Angus & Dundee,56.485,-2.779,,Scotland,North East Scotland
Barrys Head,,County Cork,51.704,-8.396,,Ireland,Republic of Ireland
Barsham,,Suffolk,52.457,1.523,,England,East Anglia
Bartinney Downs,,Cornwall,50.103,-5.643,,England,South West
Bartley Reservoir,,West MIdlands,52.478,-1.996,,England,West Midlands
Barton Gravel Pits,,Staffordshire,52.760,-1.709,,England,West Midlands
Barton Staithe,,Norfolk,52.748,1.492,,England,East Anglia
Barton-on-Sea,,Hampshire,50.734,-1.653,,England,South East
Barton-upon-Humber,,Lincolnshire,53.693,-0.444,,England,
Barvas,Lewis,Outer Hebrides,58.359,-6.513,1,Scotland,Hebrides
Bass Point,Lizard,Cornwall,49.967,-5.184,,England,South West
Bass Rock,,Lothian,56.078,-2.641,,Scotland,South East Scotland
Bassenthwaite Lake,,Cumbria,54.658,-3.219,,England,North West
Basta,Yell,Shetland,60.630,-1.046,1,Scotland,Shetland
Baston Gravel Pits,,Lincolnshire,52.716,-0.031,,England,
Bath,,Avon,51.378,-2.352,,England,South West
Battery Park,,North-east Scotland,57.510,-1.775,,Scotland,North East Scotland
Bavelaw,,Lothian,55.850,-3.331,,Scotland,South East Scotland
Bawdsey,,Suffolk,52.013,1.418,,England,East Anglia
Bay of Ireland,Mainland,Orkney,58.967,-3.254,1,Scotland,
Bay of Sandoyne,Mainland,Orkney,58.903,-2.933,1,Scotland,
Bay of Sandoyne/Backakelday,Mainland,Orkney,58.907,-2.936,1,Scotland,
Bay of Sandoyne/Loch of Ayre,Mainland,Orkney,58.899,-2.927,1,Scotland,
Bay of Swartmill,Westray,Orkney,59.302,-2.913,1,Scotland,
Bayfield Hall Lake,,Norfolk,52.922,1.045,,England,East Anglia
Beachy Head,,Sussex,50.735,0.241,,England,South East
Beacon Hill,Tresco,Isles of Scilly,49.961,-6.341,1,England,South West
Beacon Ponds,,Yorkshire,53.634,0.131,,England,North East
Beacon Ponds/Kilnsea/Spurn,,Yorkshire,53.618,0.139,,England,North East
Beadnell,,Northumberland,55.555,-1.630,,England,North East
Beady Pool,St Agnes,Isles of Scilly,49.885,-6.339,1,England,South West
Beal,,Northumberland,55.680,-1.903,,England,North East
Beale Strand,,County Kerry,52.579,-9.607,,Ireland,Republic of Ireland
Beale Strand/Littor Strand/Rinavella Bay/Carrigaholt Bay,,County Kerry,52.600,-9.678,,Ireland,Republic of Ireland
Bearah Tor,,Cornwall,50.544,-4.458,,England,South West
