,0,1
Set 213,51.947,1.093
Set 214,52.606,1.575
Set 215,52.124,-6.786
Set 216,51.076,-4.165
Set 217,50.598,-3.442
Set 218,50.885,-1.409
Set 219,52.918,0.63
Set 220,52.92,0.511
Set 221,49.92,-6.322
Set 222,49.893,-6.347
Set 223,57.448,-1.917
Set 224,60.542,-1.013
Set 225,57.265,-7.438
Set 226,52.798,1.585
Set 227,52.97,0.81
Set 228,50.119,-5.226
Set 229,51.767,0.861
Set 230,50.402,-4.242
Set 231,51.719,-4.769
Set 232,54.883,-1.355
Set 233,54.913,-3.268
Set 234,53.629,0.129
Set 235,53.144,-2.583
Set 236,53.537,-4.016
Set 237,50.13,-5.622
